epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77923,4.44603,7.13232,2.01186,0.00079,0.01105,0.00051,0.00018,4.66448,7.37611,1.9317,0.00016,0.00016,0.00016
2,48.1236,3.73636,4.18747,1.82842,0.00907,0.24862,0.00582,0.00149,3.28254,4.19842,1.73241,0.0003366,0.0003366,0.0003366
3,50.1387,3.11628,2.81448,1.67487,0.02188,0.30387,0.01568,0.00498,3.05595,4.52681,2.00961,0.000509601,0.000509601,0.000509601
4,52.5064,3.04403,2.69986,1.69599,0.0386,0.1768,0.02124,0.00534,3.06464,3.39217,1.9866,0.000679002,0.000679002,0.000679002
5,54.5209,2.99418,2.56282,1.58649,0.04974,0.24862,0.03085,0.00797,2.93642,2.89444,1.75782,0.000844804,0.000844804,0.000844804
6,56.4794,2.87305,2.46587,1.5218,0.08265,0.11602,0.04403,0.01304,2.90532,2.82864,1.62877,0.00100701,0.00100701,0.00100701
7,58.5131,2.8406,2.4523,1.46748,0.08998,0.11602,0.05343,0.01517,2.87366,2.7776,1.62752,0.00116561,0.00116561,0.00116561
8,60.5287,2.78788,2.41552,1.46874,0.24167,0.1326,0.11149,0.03096,2.74542,2.65381,1.54827,0.00132061,0.00132061,0.00132061
9,62.9595,2.73954,2.3414,1.44293,0.18249,0.1326,0.08381,0.02624,2.70698,2.70357,1.60307,0.00147201,0.00147201,0.00147201
10,64.8051,2.73548,2.28051,1.48326,0.14921,0.11046,0.06563,0.01906,2.70156,2.77031,1.62159,0.00161982,0.00161982,0.00161982
11,66.6022,2.75608,2.32867,1.48848,0.17105,0.12155,0.06461,0.02001,2.70132,2.69993,1.63171,0.00176402,0.00176402,0.00176402
12,68.3453,2.72264,2.21403,1.44193,0.24978,0.1326,0.107,0.0289,2.68279,2.5655,1.63116,0.00178002,0.00178002,0.00178002
13,70.1173,2.70234,2.29181,1.4435,0.26927,0.14365,0.11833,0.03259,2.83629,2.53669,1.77945,0.00176002,0.00176002,0.00176002
14,72.0125,2.66863,2.21021,1.4501,0.21128,0.12155,0.0879,0.03051,2.83647,2.68099,1.89332,0.00174003,0.00174003,0.00174003
15,73.8492,2.71822,2.27097,1.44402,0.23206,0.1547,0.11417,0.03798,2.72882,2.46494,1.8059,0.00172003,0.00172003,0.00172003
16,75.8115,2.69224,2.31523,1.44454,0.34033,0.15393,0.12178,0.03685,2.62355,2.42262,1.63956,0.00170003,0.00170003,0.00170003
17,77.585,2.60224,2.102,1.41892,0.34488,0.15415,0.11243,0.03384,2.66614,2.46457,1.67149,0.00168003,0.00168003,0.00168003
18,79.3833,2.57395,2.31137,1.43084,0.22721,0.12707,0.09252,0.03241,2.67823,2.71981,1.66144,0.00166003,0.00166003,0.00166003
19,81.1809,2.63069,2.26773,1.43264,0.21713,0.14917,0.08237,0.02721,2.646,2.45952,1.62436,0.00164004,0.00164004,0.00164004
20,83.0446,2.61533,2.19103,1.39592,0.21579,0.1326,0.11326,0.03589,2.72143,2.32176,1.65924,0.00162004,0.00162004,0.00162004
21,84.9846,2.56234,2.13856,1.39795,0.19835,0.14365,0.11292,0.04139,2.72917,2.3318,1.70956,0.00160004,0.00160004,0.00160004
22,86.9876,2.59342,2.11873,1.39931,0.23833,0.1547,0.11268,0.03107,2.83029,2.47514,1.85696,0.00158004,0.00158004,0.00158004
23,88.7142,2.59525,2.14701,1.43669,0.29495,0.14365,0.12517,0.0438,2.55198,2.37028,1.65114,0.00156004,0.00156004,0.00156004
24,90.6512,2.61241,2.14318,1.37875,0.24093,0.17127,0.12258,0.04395,2.56234,2.34381,1.58349,0.00154005,0.00154005,0.00154005
