epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8175,0.68333,0.53048,0.84393,0.96896,0.84723,0.8979,0.75652,0.50571,0.33675,0.798,0.000663623,0.000663623,0.000663623
2,58.5707,0.53241,0.34176,0.80618,0.97387,0.83854,0.90047,0.78096,0.43436,0.30988,0.78858,0.00131699,0.00131699,0.00131699
3,82.8116,0.51704,0.33255,0.80259,0.97475,0.85282,0.90462,0.7813,0.46446,0.31765,0.79465,0.00195702,0.00195702,0.00195702
4,106.696,0.50544,0.32511,0.80141,0.96623,0.86117,0.91164,0.79282,0.4447,0.30147,0.78993,0.00194001,0.00194001,0.00194001
5,130.56,0.46919,0.30615,0.79696,0.97131,0.86653,0.91433,0.80333,0.40995,0.2893,0.78522,0.00192001,0.00192001,0.00192001
6,154.272,0.45855,0.2977,0.79561,0.96903,0.84363,0.91198,0.79958,0.40987,0.28751,0.78886,0.00190001,0.00190001,0.00190001
7,178.08,0.44038,0.2881,0.79336,0.97777,0.85658,0.9167,0.81379,0.38693,0.28066,0.78636,0.00188001,0.00188001,0.00188001
8,202.225,0.43983,0.28223,0.79185,0.97066,0.87313,0.92573,0.83641,0.34894,0.25535,0.78152,0.00186001,0.00186001,0.00186001
9,226.147,0.41945,0.2736,0.79043,0.97927,0.86646,0.92414,0.83381,0.346,0.25331,0.78042,0.00184002,0.00184002,0.00184002
10,249.992,0.41263,0.26997,0.78912,0.97395,0.87118,0.92555,0.83187,0.34804,0.25127,0.78239,0.00182002,0.00182002,0.00182002
11,273.502,0.40952,0.26801,0.78978,0.97909,0.85178,0.91541,0.81434,0.35758,0.25338,0.78322,0.00180002,0.00180002,0.00180002
12,297.451,0.39853,0.26075,0.78795,0.97775,0.86328,0.92467,0.83802,0.33617,0.24202,0.7803,0.00178002,0.00178002,0.00178002
13,321.288,0.39427,0.25944,0.78809,0.97331,0.87777,0.92724,0.83913,0.32786,0.24322,0.78017,0.00176002,0.00176002,0.00176002
14,345.322,0.39089,0.25544,0.78732,0.97532,0.87923,0.92631,0.84295,0.30815,0.22988,0.77796,0.00174003,0.00174003,0.00174003
15,369.295,0.38857,0.25432,0.78752,0.957,0.85554,0.92096,0.81804,0.37603,0.26928,0.78607,0.00172003,0.00172003,0.00172003
16,393.168,0.38264,0.2506,0.78658,0.9776,0.87933,0.93078,0.84633,0.31127,0.23131,0.77873,0.00170003,0.00170003,0.00170003
17,417.531,0.37779,0.24768,0.78548,0.9776,0.88182,0.92698,0.84445,0.30306,0.22878,0.77793,0.00168003,0.00168003,0.00168003
18,441.448,0.37281,0.24672,0.78464,0.98085,0.87453,0.92438,0.84419,0.30412,0.2283,0.77947,0.00166003,0.00166003,0.00166003
19,465.256,0.37484,0.24478,0.78676,0.97822,0.87413,0.92604,0.84415,0.30646,0.22676,0.7778,0.00164004,0.00164004,0.00164004
20,488.853,0.36895,0.24053,0.78448,0.9807,0.87877,0.92669,0.8438,0.3077,0.22614,0.7797,0.00162004,0.00162004,0.00162004
21,512.557,0.36473,0.23768,0.78498,0.9774,0.88215,0.93202,0.85512,0.28402,0.2181,0.77591,0.00160004,0.00160004,0.00160004
22,536.357,0.36935,0.23961,0.78536,0.97719,0.88222,0.92638,0.84186,0.32041,0.22434,0.78052,0.00158004,0.00158004,0.00158004
23,560.272,0.36049,0.23606,0.78282,0.98034,0.87847,0.92863,0.85138,0.27919,0.21483,0.77659,0.00156004,0.00156004,0.00156004
24,583.997,0.35471,0.23295,0.78304,0.97883,0.88534,0.92833,0.85184,0.27549,0.21106,0.77724,0.00154005,0.00154005,0.00154005
25,607.894,0.35758,0.23388,0.78324,0.9828,0.88132,0.92965,0.85164,0.29249,0.21927,0.77714,0.00152005,0.00152005,0.00152005
26,631.432,0.35388,0.23173,0.78326,0.97871,0.86637,0.91804,0.83188,0.30997,0.22006,0.77873,0.00150005,0.00150005,0.00150005
27,655.057,0.35745,0.23244,0.78316,0.982,0.88387,0.93224,0.85523,0.2887,0.21996,0.77662,0.00148005,0.00148005,0.00148005
28,679.065,0.35183,0.22977,0.78252,0.9827,0.88037,0.9319,0.86111,0.26837,0.20695,0.77625,0.00146005,0.00146005,0.00146005
29,702.949,0.34647,0.22831,0.78191,0.97598,0.88472,0.93059,0.85675,0.27756,0.21452,0.77508,0.00144006,0.00144006,0.00144006
30,726.543,0.34963,0.22804,0.7822,0.98077,0.88247,0.93011,0.85472,0.28346,0.21103,0.77649,0.00142006,0.00142006,0.00142006
31,749.979,0.34612,0.22692,0.7826,0.97975,0.88382,0.93397,0.86394,0.26716,0.20687,0.775,0.00140006,0.00140006,0.00140006
32,773.934,0.3486,0.22779,0.78296,0.98133,0.88556,0.93512,0.86624,0.25959,0.20446,0.77415,0.00138006,0.00138006,0.00138006
33,797.871,0.33723,0.22285,0.78204,0.98409,0.88212,0.93132,0.86194,0.26003,0.20202,0.7747,0.00136006,0.00136006,0.00136006
34,821.611,0.33935,0.22445,0.78163,0.98313,0.88571,0.933,0.86357,0.26206,0.2033,0.77485,0.00134007,0.00134007,0.00134007
35,845.037,0.34151,0.22356,0.78166,0.98226,0.88792,0.93405,0.86355,0.26814,0.20606,0.77479,0.00132007,0.00132007,0.00132007
36,868.579,0.33599,0.22266,0.78068,0.98249,0.88339,0.93537,0.87043,0.25276,0.19727,0.77356,0.00130007,0.00130007,0.00130007
37,892.388,0.33404,0.22071,0.78146,0.98441,0.88678,0.93162,0.86285,0.25101,0.19991,0.77358,0.00128007,0.00128007,0.00128007
38,916.007,0.32993,0.21757,0.78104,0.98279,0.88491,0.93351,0.86533,0.253,0.19537,0.77593,0.00126007,0.00126007,0.00126007
39,939.598,0.32982,0.21707,0.78043,0.98288,0.88956,0.93913,0.87364,0.24803,0.19616,0.77506,0.00124008,0.00124008,0.00124008
40,963.461,0.32715,0.21563,0.78071,0.98324,0.88563,0.93166,0.86475,0.25335,0.19518,0.77527,0.00122008,0.00122008,0.00122008
41,987.165,0.3242,0.21357,0.7796,0.98396,0.88649,0.93372,0.86597,0.25258,0.19105,0.77575,0.00120008,0.00120008,0.00120008
42,1010.74,0.32519,0.21423,0.78082,0.98044,0.88934,0.93275,0.86482,0.25643,0.19742,0.77591,0.00118008,0.00118008,0.00118008
43,1034.48,0.32607,0.21461,0.78023,0.98392,0.88832,0.93358,0.87039,0.2389,0.18903,0.77423,0.00116008,0.00116008,0.00116008
44,1057.99,0.31969,0.21148,0.77956,0.98319,0.88742,0.93475,0.87138,0.24065,0.18836,0.77532,0.00114009,0.00114009,0.00114009
45,1081.64,0.31979,0.21063,0.77966,0.98393,0.88392,0.9346,0.86991,0.24583,0.1905,0.77505,0.00112009,0.00112009,0.00112009
46,1105.18,0.3167,0.20806,0.77966,0.9813,0.88382,0.93274,0.86511,0.24602,0.19098,0.77428,0.00110009,0.00110009,0.00110009
47,1128.82,0.31391,0.20722,0.77904,0.98039,0.88887,0.93572,0.87342,0.24023,0.18948,0.77344,0.00108009,0.00108009,0.00108009
48,1152.39,0.31515,0.20788,0.77886,0.9852,0.88825,0.93822,0.87746,0.2333,0.18481,0.77406,0.00106009,0.00106009,0.00106009
49,1176.11,0.31459,0.20797,0.77886,0.98193,0.89099,0.93675,0.87622,0.23493,0.18517,0.77463,0.0010401,0.0010401,0.0010401
50,1199.78,0.31111,0.20619,0.77825,0.98448,0.88922,0.93913,0.87684,0.2349,0.18421,0.77405,0.0010201,0.0010201,0.0010201
51,1223.3,0.31391,0.20549,0.77953,0.98304,0.88807,0.93368,0.87218,0.23329,0.18421,0.77458,0.0010001,0.0010001,0.0010001
52,1246.98,0.30998,0.20434,0.77952,0.98269,0.89067,0.93392,0.87269,0.23209,0.18374,0.77383,0.000980102,0.000980102,0.000980102
53,1270.51,0.307,0.20272,0.77845,0.98236,0.89117,0.93813,0.87581,0.23134,0.18197,0.7751,0.000960104,0.000960104,0.000960104
54,1294.02,0.30989,0.2043,0.7788,0.98504,0.89232,0.93737,0.87636,0.23095,0.18101,0.77473,0.000940106,0.000940106,0.000940106
55,1317.67,0.3063,0.20168,0.77854,0.98424,0.88978,0.93364,0.87237,0.22658,0.18003,0.77339,0.000920108,0.000920108,0.000920108
56,1341.05,0.30696,0.201,0.77776,0.98286,0.88852,0.93611,0.87689,0.23017,0.18181,0.77401,0.00090011,0.00090011,0.00090011
57,1364.72,0.30681,0.20062,0.77779,0.98119,0.89456,0.93689,0.87714,0.22619,0.17884,0.77353,0.000880112,0.000880112,0.000880112
58,1388.31,0.3044,0.19973,0.77851,0.98268,0.89192,0.93653,0.87698,0.22059,0.17742,0.774,0.000860114,0.000860114,0.000860114
59,1412.09,0.29993,0.19755,0.77731,0.98364,0.88969,0.93462,0.87535,0.23189,0.17945,0.77482,0.000840116,0.000840116,0.000840116
60,1435.56,0.30129,0.1976,0.77846,0.98328,0.89355,0.93658,0.87762,0.22637,0.17812,0.77318,0.000820118,0.000820118,0.000820118
61,1459.04,0.29903,0.19592,0.77812,0.9837,0.89182,0.93902,0.88214,0.21927,0.17618,0.77303,0.00080012,0.00080012,0.00080012
62,1482.77,0.29989,0.19611,0.77662,0.98471,0.89157,0.93732,0.88106,0.21623,0.17425,0.77237,0.000780122,0.000780122,0.000780122
63,1506.33,0.29717,0.19529,0.77766,0.98619,0.88919,0.93929,0.88174,0.22102,0.17437,0.77251,0.000760124,0.000760124,0.000760124
64,1530.06,0.29782,0.19496,0.77653,0.98059,0.89122,0.93842,0.88157,0.21767,0.17313,0.77333,0.000740126,0.000740126,0.000740126
65,1553.53,0.29728,0.19433,0.77633,0.9839,0.88822,0.93465,0.87661,0.22401,0.17473,0.7742,0.000720128,0.000720128,0.000720128
66,1577.36,0.29692,0.19294,0.77682,0.98405,0.89146,0.93756,0.87979,0.21747,0.17268,0.77356,0.00070013,0.00070013,0.00070013
67,1600.91,0.29162,0.19106,0.77729,0.98564,0.89212,0.93825,0.88067,0.21346,0.16969,0.77395,0.000680132,0.000680132,0.000680132
68,1624.71,0.29665,0.19298,0.77745,0.98393,0.89367,0.93676,0.87898,0.2137,0.17147,0.77367,0.000660134,0.000660134,0.000660134
69,1648.31,0.29408,0.19276,0.77683,0.98303,0.89102,0.93702,0.87948,0.21534,0.17073,0.77272,0.000640136,0.000640136,0.000640136
70,1671.81,0.29139,0.19007,0.7769,0.98157,0.89127,0.93448,0.87645,0.21278,0.16978,0.77161,0.000620138,0.000620138,0.000620138
71,1695.51,0.28958,0.18935,0.77623,0.98734,0.89272,0.93804,0.88157,0.20912,0.16885,0.77243,0.00060014,0.00060014,0.00060014
72,1719.06,0.28754,0.18802,0.77616,0.9866,0.89102,0.93733,0.88179,0.21123,0.16747,0.77239,0.000580142,0.000580142,0.000580142
73,1742.71,0.29103,0.18888,0.77639,0.98709,0.89068,0.94016,0.88577,0.21044,0.16888,0.77104,0.000560144,0.000560144,0.000560144
74,1766.36,0.28675,0.18625,0.77636,0.98659,0.89197,0.93933,0.88503,0.21104,0.16705,0.77257,0.000540146,0.000540146,0.000540146
75,1790.15,0.2849,0.18543,0.7758,0.98474,0.8904,0.93817,0.88265,0.2138,0.16875,0.77254,0.000520148,0.000520148,0.000520148
76,1813.63,0.28406,0.18501,0.77603,0.98388,0.89416,0.9393,0.88596,0.20909,0.16669,0.77237,0.00050015,0.00050015,0.00050015
77,1837.75,0.28284,0.18352,0.77597,0.98608,0.89212,0.93816,0.88381,0.20835,0.1653,0.77222,0.000480152,0.000480152,0.000480152
78,1861.4,0.28324,0.18307,0.77641,0.9852,0.8918,0.93611,0.88194,0.20967,0.16548,0.77302,0.000460154,0.000460154,0.000460154
79,1884.93,0.28298,0.18309,0.7765,0.98467,0.89559,0.93618,0.88119,0.20654,0.164,0.77234,0.000440156,0.000440156,0.000440156
80,1908.63,0.28163,0.18238,0.77625,0.98461,0.89245,0.93803,0.88505,0.20457,0.16327,0.77231,0.000420158,0.000420158,0.000420158
81,1932.25,0.28145,0.18235,0.77546,0.98644,0.89487,0.93764,0.88395,0.20272,0.16194,0.77248,0.00040016,0.00040016,0.00040016
82,1955.72,0.27987,0.18114,0.77609,0.98546,0.89272,0.93681,0.88361,0.2059,0.16338,0.77288,0.000380162,0.000380162,0.000380162
83,1979.33,0.27799,0.17966,0.77552,0.98704,0.89357,0.93891,0.88617,0.20368,0.16206,0.7729,0.000360164,0.000360164,0.000360164
84,2003.14,0.27796,0.17918,0.77598,0.98682,0.89444,0.9399,0.88665,0.20219,0.16096,0.772,0.000340166,0.000340166,0.000340166
85,2026.86,0.27787,0.17945,0.77577,0.98732,0.89546,0.9393,0.88554,0.20175,0.16138,0.77179,0.000320168,0.000320168,0.000320168
86,2050.48,0.27663,0.17756,0.77584,0.98591,0.89571,0.93851,0.88461,0.20286,0.16067,0.77206,0.00030017,0.00030017,0.00030017
87,2074.13,0.27541,0.17733,0.77508,0.98632,0.89375,0.93954,0.88599,0.20161,0.1602,0.77173,0.000280172,0.000280172,0.000280172
88,2097.71,0.27256,0.17539,0.77519,0.98615,0.89417,0.9397,0.8877,0.19834,0.15796,0.77224,0.000260174,0.000260174,0.000260174
89,2121.61,0.27572,0.17574,0.77551,0.98599,0.89384,0.9393,0.88536,0.20149,0.15931,0.77263,0.000240176,0.000240176,0.000240176
90,2145.07,0.27266,0.17442,0.77453,0.98411,0.89737,0.93995,0.88758,0.19952,0.1572,0.77265,0.000220178,0.000220178,0.000220178
91,2171.52,0.26967,0.17283,0.77403,0.98472,0.8954,0.94029,0.88877,0.20086,0.15867,0.77277,0.00020018,0.00020018,0.00020018
92,2195.56,0.26693,0.17207,0.77457,0.98578,0.89667,0.94041,0.88841,0.19822,0.15793,0.77278,0.000180182,0.000180182,0.000180182
93,2219.52,0.27005,0.17282,0.77523,0.98393,0.89762,0.94026,0.88896,0.19764,0.15586,0.77323,0.000160184,0.000160184,0.000160184
94,2243.29,0.26557,0.16986,0.77458,0.98617,0.89479,0.93978,0.8885,0.1999,0.15682,0.77316,0.000140186,0.000140186,0.000140186
95,2267.12,0.26604,0.16999,0.77447,0.98663,0.89407,0.93934,0.88837,0.19798,0.15581,0.77304,0.000120188,0.000120188,0.000120188
96,2290.78,0.2664,0.16979,0.77506,0.98524,0.89778,0.94032,0.88888,0.2005,0.15646,0.77335,0.00010019,0.00010019,0.00010019
97,2314.28,0.26355,0.16794,0.77392,0.98623,0.89524,0.93978,0.88851,0.19927,0.15637,0.7731,8.0192e-05,8.0192e-05,8.0192e-05
98,2337.9,0.26515,0.16835,0.77494,0.98558,0.89642,0.93902,0.88753,0.19991,0.15582,0.77296,6.0194e-05,6.0194e-05,6.0194e-05
99,2361.29,0.26329,0.16627,0.77457,0.98566,0.89632,0.93962,0.88811,0.19903,0.15507,0.77289,4.0196e-05,4.0196e-05,4.0196e-05
100,2385.2,0.26186,0.16633,0.77362,0.98823,0.89502,0.93963,0.88748,0.19879,0.15566,0.77282,2.0198e-05,2.0198e-05,2.0198e-05
