epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5089,0.62862,0.55026,0.88751,0.98167,0.84555,0.90203,0.81127,0.86522,0.85632,1.05058,0.000665434,0.000665434,0.000665434
2,174.764,0.51793,0.41404,0.85027,0.98199,0.85374,0.90523,0.82495,0.81662,0.7725,1.02076,0.00131878,0.00131878,0.00131878
3,258.022,0.49376,0.39088,0.84531,0.97861,0.8456,0.90325,0.82028,0.82436,0.88607,1.03511,0.0019588,0.0019588,0.0019588
4,341.414,0.48283,0.38604,0.84163,0.9846,0.85313,0.90696,0.83929,0.77133,0.75485,1.00226,0.00194001,0.00194001,0.00194001
5,423.999,0.45776,0.36464,0.83692,0.9832,0.85011,0.91362,0.84616,0.74595,0.76059,1.00297,0.00192001,0.00192001,0.00192001
6,507.078,0.43608,0.34918,0.83175,0.98481,0.85018,0.90905,0.83872,0.75219,0.81548,0.99955,0.00190001,0.00190001,0.00190001
7,589.177,0.43647,0.34911,0.83285,0.98611,0.85838,0.91597,0.85046,0.72441,0.69505,0.98974,0.00188001,0.00188001,0.00188001
8,672.064,0.42244,0.3404,0.83052,0.98316,0.84561,0.91064,0.8262,0.76536,0.79687,1.0018,0.00186001,0.00186001,0.00186001
9,754.291,0.42149,0.33645,0.82927,0.98769,0.85878,0.92107,0.85448,inf,0.71811,0.99306,0.00184002,0.00184002,0.00184002
10,836.481,0.4116,0.33033,0.82867,0.98765,0.8606,0.92226,0.86187,0.69395,0.67221,0.97869,0.00182002,0.00182002,0.00182002
11,918.634,0.41024,0.32862,0.82746,0.98806,0.85712,0.91955,0.86075,0.68751,0.6884,0.97865,0.00180002,0.00180002,0.00180002
12,1000.87,0.39652,0.32033,0.8246,0.98695,0.85599,0.916,0.85498,0.68749,0.70693,0.98539,0.00178002,0.00178002,0.00178002
13,1083.02,0.39795,0.31706,0.82454,0.98734,0.8627,0.92211,0.86146,0.67544,0.67942,0.97528,0.00176002,0.00176002,0.00176002
14,1165.3,0.39868,0.31738,0.82388,0.98543,0.86826,0.92684,0.86687,0.6733,0.70944,0.96113,0.00174003,0.00174003,0.00174003
15,1247.76,0.39306,0.31393,0.82247,0.9906,0.85745,0.91927,0.85712,0.67843,0.69089,0.98257,0.00172003,0.00172003,0.00172003
16,1329.83,0.38754,0.3083,0.82119,0.98889,0.86101,0.9265,0.86788,0.66014,0.70424,0.96862,0.00170003,0.00170003,0.00170003
17,1412.54,0.39207,0.3129,0.82252,0.98739,0.86182,0.9255,0.86622,0.65842,0.68994,0.97206,0.00168003,0.00168003,0.00168003
18,1494.36,0.38446,0.30611,0.82154,0.98776,0.86435,0.92794,0.87152,0.64835,0.64949,0.96384,0.00166003,0.00166003,0.00166003
